Company;Rating;Company_source
Pioneer Natural Resources Co.;32,1;Pioneer Natural Resources Co.
Pitney Bowes Inc.;7,4;Pitney Bowes, Inc.
Plains All American Pipeline L.P.;23,9;Plains All American Pipeline LP
Portland General Electric Co.;35,4;Portland General Electric Co.
Precision Drilling Corp.;26,4;Precision Drilling Corp.
Quest Diagnostics Inc.;21,2;Quest Diagnostics, Inc.
Range Resources Corp.;44,9;Range Resources Corp.
Rockwell Automation Inc.;17,7;Rockwell Automation, Inc.
Rogers Communications Inc.;23,3;Rogers Communications, Inc.
Royal Caribbean Cruises Ltd.;20,2;Royal Caribbean Group
Ryman Hospitality Properties, Inc.;16,9;Ryman Hospitality Properties, Inc.
SK Telecom Co. Ltd.;27,0;SK Telecom Co., Ltd.
Sanofi;21,5;Sanofi
Scholastic Corp.;15,0;Scholastic Corp.
Scotts Miracle-Gro Co. (The);37,8;Scotts Miracle-Gro Co.
Seagate Technology plc;12,5;Seagate Technology Holdings Plc
Silgan Holdings Inc.;22,0;Silgan Holdings, Inc.
Sinclair Broadcast Group Inc.;21,5;Sinclair Broadcast Group, Inc.
Snap-on Inc.;30,5;Snap-On, Inc.
Sonic Automotive Inc.;18,8;Sonic Automotive, Inc.
Sonoco Products Co.;21,3;Sonoco Products Co.
Sony Corp.;17,4;Sony Group Corp.
Southwest Airlines Co.;30,7;Southwest Airlines Co.
Southwest Gas Corp.;32,1;Southwest Gas Corp.
Stanley Black & Decker Inc.;25,3;Stanley Black & Decker, Inc.
Starbucks Corp.;24,7;Starbucks Corp.
Target Corp.;14,4;Target Corp.
Teleflex Incorporated;29,6;Teleflex, Inc.
Telephone and Data Systems Inc.;36,9;Telephone & Data Systems, Inc.
Tenet Healthcare Corp.;35,0;Tenet Healthcare Corp.
Tenneco Inc.;13,2;Tenneco, Inc.
Terex Corp.;26,6;Terex Corp.
Thomson Reuters Corp.;14,6;Thomson Reuters Corp.
Toll Brothers Inc.;22,6;Toll Brothers, Inc.
TreeHouse Foods, Inc.;33,9;TreeHouse Foods, Inc.
Trinity Industries Inc.;32,0;Trinity Industries, Inc.
Triton Container International Ltd.;21,5;Triton Container International Ltd.
Tupperware Brands Corporation;12,6;Tupperware Brands Corp.
Unisys Corp.;20,2;Unisys Corp.
United Rentals Inc.;16,9;United Rentals, Inc.
United States Cellular Corporation;30,9;United States Cellular Corp.
Vail Resorts Inc.;26,2;Vail Resorts, Inc.
Valmont Industries Inc.;41,3;Valmont Industries, Inc.
Verisk Analytics, Inc.;19,5;Verisk Analytics, Inc.
Vishay Intertechnology Inc.;21,1;Vishay Intertechnology, Inc.
Vulcan Materials Co.;29,1;Vulcan Materials Co.
WEC Energy Group Inc.;27,5;WEC Energy Group, Inc.
Williams Companies Inc. (The);21,8;The Williams Cos., Inc.
Worthington Industries Inc.;32,6;Worthington Industries, Inc.
Xcel Energy Inc.;26,5;Xcel Energy, Inc.
York Water Co. (The);41,2;The York Water Co.
Yum! Brands Inc.;20,3;Yum! Brands, Inc.
3M Company;36,0;3M Co.
AAR CORP.;34,0;AAR Corp.
ABB Ltd;15,2;ABB Ltd.
ABB Ltd.;15,2;ABB Ltd.
ALLETE, Inc.;34,2;ALLETE, Inc.
AMC Networks Inc.;25,4;AMC Networks, Inc.
Acadia Healthcare Company, Inc.;28,9;Acadia Healthcare Co., Inc.
Advance Auto Parts, Inc.;11,5;Advance Auto Parts, Inc.
Advanced Micro Devices Inc.;15,4;Advanced Micro Devices, Inc.
Advanced Micro Devices, Inc.;15,4;Advanced Micro Devices, Inc.
Air Products and Chemicals, Inc.;12,3;Air Products & Chemicals, Inc.
Alere Inc.;;
AllScripts Healthcare Solutions, Inc.;;
Allegheny Technologies Incorporated;;
Alliance Laundry Systems LLC;;
Alliant Energy Corporation;21,5;Alliant Energy Corp.
Allison Transmission, Inc.;30,0;Allison Transmission Holdings, Inc.
Alon USA Energy, Inc.;;
Amazon.com Inc.;30,5;Amazon.com, Inc.
Ameren Corporation;27,2;Ameren Corp.
America Movil S.A.B. de C.V.;21,7;America Movil SAB de CV
America Movil, S.A.B. de C.V.;21,7;America Movil SAB de CV
American Axle & Manufacturing Holdings, Inc.;16,1;American Axle & Manufacturing Holdings, Inc.
American Axle & Manufacturing, Inc.;16,1;American Axle & Manufacturing Holdings, Inc.
American Electric Power Co. Inc.;26,1;American Electric Power Co., Inc.
American Electric Power Company, Inc.;26,1;American Electric Power Co., Inc.
American Water Works Company, Inc.;21,6;American Water Works Co., Inc.
Ameriprise Financial, Inc;22,5;Ameriprise Financial, Inc.
Amkor Technology, Inc.;21,0;Amkor Technology, Inc.
Amphenol Corporation;20,0;Amphenol Corp.
Analog Devices, Inc.;22,9;Analog Devices, Inc.
Anheuser Busch InBev NV/SA;19,1;Anheuser-Busch InBev SA/NV
Anheuser-Busch InBev SA/NV;19,1;Anheuser-Busch InBev SA/NV
Apache Corporation;46,0;APA Corp.
Archer Daniels Midland Co.;31,8;Archer-Daniels-Midland Co.
Archer Daniels Midland Company;31,8;Archer-Daniels-Midland Co.
Archer-Daniels-Midland Company;31,8;Archer-Daniels-Midland Co.
Arcos Dorados Holdings Inc.;28,4;Arcos Dorados Holdings, Inc.
Armstrong World Industries, Inc.;21,2;Armstrong World Industries, Inc.
Arrow Electronics, Inc.;9,5;Arrow Electronics, Inc.
Asbury Automotive Group, Inc.;14,2;Asbury Automotive Group, Inc.
Ashland LLC;32,4;Ashland, Inc.
Atmos Energy Corporation;34,6;Atmos Energy Corp.
AutoZone, Inc.;11,0;AutoZone, Inc.
Avery Dennison Corporation;16,1;Avery Dennison Corp.
Avis Budget Group, Inc;13,4;Avis Budget Group, Inc.
Avista Corp.;25,8;Avista Corp.
Avnet, Inc.;8,2;Avnet, Inc.
BRF S.A.;31,7;BRF SA
Baidu Inc.;21,0;Baidu, Inc.
Baidu, Inc.;21,0;Baidu, Inc.
Baker Hughes, a GE company, LLC;23,6;Baker Hughes Co.
Barrick Gold Corporation;33,3;Barrick Gold Corp.
Baxter International Inc.;23,6;Baxter International, Inc.
Beazer Homes USA, Inc.;20,5;Beazer Homes USA, Inc.
Becton, Dickinson and Company;27,0;Becton, Dickinson & Co.
Benchmark Electronics, Inc.;9,0;Benchmark Electronics, Inc.
Berry Global Group Inc.;16,1;Berry Global Group, Inc.
Big Lots Canada, Inc.;19,7;Big Lots, Inc.
Black Hills Corporation;30,5;Black Hills Corp.
Boise Cascade Company;22,6;Boise Cascade Co.
Booz Allen Hamilton Inc.;17,0;Booz Allen Hamilton Holding Corp.
Boston Scientific Corporation;26,4;Boston Scientific Corp.
Boyd Gaming Corporation;24,5;Boyd Gaming Corp.
Braskem International Ltd;24,2;Braskem SA
Bright Horizons Family Solutions LLC;17,0;Bright Horizons Family Solutions, Inc.
Brinker International, Inc.;23,9;Brinker International, Inc.
Bristol-Myers Squibb Company;22,7;Bristol Myers Squibb Co.
British American Tobacco p.l.c.;33,0;British American Tobacco plc
British American Tobacco plc.;33,0;British American Tobacco plc
Burlington Resources Finance Co.;;
Burlington Resources Finance Company;;
CSG Systems International, Inc.;22,4;CSG Systems International, Inc.
CSX Corporation;21,9;CSX Corp.
CVR Energy Inc.;48,6;CVR Energy, Inc.
CVS Health;22,0;CVS Health Corp.
Cabot Corp.;25,9;Cabot Corp.
Cabot Corporation;25,9;Cabot Corp.
Calumet Specialty Products Partners, L.P.;47,2;Calumet Specialty Products Partners LP
Campbell Soup Company;23,5;Campbell Soup Co.
Canadian National Railway Company;14,6;Canadian National Railway Co.
Canadian Natural Resources Limited;29,8;Canadian Natural Resources Ltd.
Canon Inc.;18,0;Canon, Inc.
Cardinal Health, Inc.;14,9;Cardinal Health, Inc.
Carlisle Companies Incorporated;22,8;Carlisle Cos., Inc.
Carpenter Technology Corporation;32,8;Carpenter Technology Corp.
Carriage Services, Inc.;21,3;Carriage Services, Inc.
Carrols Restaurant Group, Inc.;30,3;Carrols Restaurant Group, Inc.
Casella Waste Systems Inc.;22,2;Casella Waste Systems, Inc.
Casella Waste Systems, Inc.;22,2;Casella Waste Systems, Inc.
Cedar Fair L.P.;40,1;Cedar Fair LP
Centene Corporation;19,9;Centene Corp.
Central Garden & Pet Company;13,9;Central Garden & Pet Co.
Century Aluminum Company;42,0;Century Aluminum Co.
Charter Communications Operating, LLC;17,7;Charter Communications Operating LLC
Cisco Systems, Inc.;12,3;Cisco Systems, Inc.
Clearwater Paper Corporation;24,2;Clearwater Paper Corp.
Cleveland-Cliffs Inc.;38,1;Cleveland-Cliffs, Inc.
Coca-Cola European Partners US LLC;34,2;Coca-Cola Consolidated, Inc.
Coca-Cola FEMSA, S.A.B. de C.V.;26,3;Coca-Cola FEMSA SAB de CV
Coca-cola European Partners US, LLC;34,2;Coca-Cola Consolidated, Inc.
Coeur Mining, Inc.;35,1;Coeur Mining, Inc.
Colfax Corporation;;
Columbus McKinnon Corporation;29,9;Columbus McKinnon Corp.
Comcast Corporation;23,1;Comcast Corp.
Commercial Vehicle Group, Inc.;;
Community Health Systems, Inc.;33,9;Community Health Systems, Inc.
Companhia de Saneamento Basico do Estado de Sao Paulo (SABESP);39,7;Companhia de Saneamento de Minas Gerais
Compass Minerals International, Inc;38,5;Compass Minerals International, Inc.
Comstock Resources, Inc.;45,4;Comstock Resources, Inc.
Conagra Brands Inc.;30,8;Conagra Brands, Inc.
Conagra Brands, Inc.;30,8;Conagra Brands, Inc.
ConocoPhillips Company;33,9;ConocoPhillips
Consolidated Communications Finance Co.;34,7;Consolidated Communications Holdings, Inc.
Consolidated Communications Inc.;34,7;Consolidated Communications Holdings, Inc.
Consolidated Communications, Inc.;34,7;Consolidated Communications Holdings, Inc.
